	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
42	AK022798	AK022798	N/A	N/A	chr1:209777900-209782300	gastric cancer	C16		qPCR, Western blot etc.	cell lines (SGC7901, BGC823, SGC7901/DDP, BGC823/DDP etc.)	up-regulated	The expression of lncRNA AK022798 was significantly higher in all pcDNA3-Notch 1 plasmid treatment groups than in the pcDNA3 plasmid treatment group (P< 0.01).Overexpression of lncRNA AK022798 promotes SGC7901/DDP and BGC823/DDP cells apoptosis.the expression of MRP1 and P-glycoprotein decreased significantly in SGC7901/DDP and BGC823/DDP cells, and their apoptosis as well as the expressions of caspase 3 and caspase 8.	25763542	2015	Notch 1 promotes cisplatin-resistant gastric cancer formation by upregulating lncRNA AK022798 expression.
43	AK022971	AK022971	N/A	N/A	chr8:69664600-69672800	gastric cancer	C16		microarray, qPCR etc.	primary gastric adenocarcinoma tissue	up-regulated	For the lncRNAs, the results demonstrated that uc003iqu, uc003tfx, AK022971 and uc.341 were upregulated and that HIV1230, BC011663, AK057054 and M14574 were downregulated in the GC tissues relative to their matched counterparts (all p<0.05).	24819045	2014	Integrated analysis of long non-coding RNAs and mRNA expression profiles reveals the potential role of lncRNAs in gastric cancer pathogenesis.
44	AK023948	AK023948	N/A	N/A	chr8:133052900-133059900	papillary thyroid carcinoma	C73.9	M8260/3	qPCR etc.	PTA tissue tissue	up-regulated	To verify the array data we performed semi-quantitative RT-PCR and confirmed that AK023948 and AK023852 were significantly downregulated in some sporadic PTC tumors as seen in samples PTC6 and PTC7.	19147577	2009	A susceptibility locus for papillary thyroid carcinoma on chromosome 8q24.
45	AK024556	AK024556	N/A	N/A	chr5:142317090-142318850	prostate cancer	C61.9		microarray, qPCR, RNAi etc.	urine, cell lines (PC3, LNCaP)	up-regulated	We identified a group of differentially expressed long noncoding RNAs in prostate cancer cell lines and patient samples and further characterized six long noncoding RNAs (AK024556, XLOC_007697, LOC100287482, XLOC_005327, XLOC_008559, and XLOC_009911) in prostatic adenocarcinoma tissue samples and compared them with matched normal tissues. Interestingly, these markers were also successfully detetced in patient urine samples and were found to be up-regulated when compared with normal urine. 	25513185	2014	Long noncoding RNAs as putative biomarkers for prostate cancer detection.
46	AK027294	AK027294	N/A	N/A	chr8:133229923-133231595	colorectal cancer	C19.9		qPCR, Western blot, RNAi etc.	CRC tissues, cell lines (HCT116, HCT8, SW480 etc.)	down-regulated	our results indicated that AK027294 down-regulation significantly inhibited colorectal cancer cells proliferation and migration, but promoted cell apoptosis (P < 0.05). The potential mechanism of AK027294 might be associated with the regulation of caspase-3, caspase-8, Bcl-2, MMP12, MMP9, and TWIST. The lncRNA expression profile in colorectal cancer suggests lncRNAs may play important roles in the occurrence and progression of colorectal cancer. AK027294 is highly expressed in colorectal cancer and closely correlates with colorectal cells proliferation, migration, and apoptosis	26820130	2016	Long non-coding RNA AK027294 involves in the process of proliferation, migration, and apoptosis of colorectal cancer cells
47	AK054908	AK054908	N/A	N/A	chr9:136716300-136733300	malignant pleural mesothelioma		M9050/3	microarray, qPCR etc.	MPM tissue, cell lines (H28, H226, H2052, H2452, MSTO etc.)	up-regulated	AK130977 and AX746718 were both found to be down-regulated via both microarray and RT-qPCR (AK130977 Microarray (MA) = -5.207, RT-qPCR = -1.6; AX746718 MA = -3.37, RT-qPCR = -4.6), with AK130977 demonstrating fairly small changes using RT-qPCR. Similarly, BX648695, AK129685, EF177379, AK054908, AK130275, AF268386 and NR_003584 all demonstrated consistent up-regulation using both microarrays and RT-qPCR.	23976967	2013	Long non coding RNAs (lncRNAs) are dysregulated in Malignant Pleural Mesothelioma (MPM).
48	AK055007	AK055007	N/A	N/A	chr15:73565300-73571000	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR, RIP, RNA pulldown assay etc.	HCC tissue	down-regulated	AY129027, uc002pyc and DQ786243 were over-expressed in HCC, whereas the expression of AK055007 and AK123790 was decreased.	21769904	2011	Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans.
49	AK056098	AK056098	N/A	N/A	chr20:57708300-57714700	nasopharyngeal carcinoma	C11		microarray, qPCR, RNAi etc.	nasopharyngeal carcinoma tissue, cell lines (CNE-2 etc.)	up-regulated	qPCR results were consistent with the microarray analysis results of six lncRNAs (AF086415, AK095147, RP1-179N16.3, MUDENG, AK056098, and AK294004) in terms of regulation direction and significance.	24379026	2014	Curcumin enhances the radiosensitivity in nasopharyngeal carcinoma cells involving the reversal of differentially expressed long non-coding RNAs.
50	AK056988	AK056988	N/A	N/A	chr11:114059380-114062460	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	down-regulated	The results showed that BC017743, ENST00000395084, NR_026591, NR_015378 and NR_024284 were up-regulated and NR_027151, AK056988 and uc003yqb.1 were down-regulated in HCC samples compared with adjacent NT samples.	25025236	2014	The long noncoding RNA expression profile of hepatocellular carcinoma identified by microarray analysis.
51	AK057054	AK057054	N/A	N/A	chr9:38100000-38242000	gastric cancer	C16		microarray, qPCR etc.	primary gastric adenocarcinoma tissue	down-regulated	For the lncRNAs, the results demonstrated that uc003iqu, uc003tfx, AK022971 and uc.341 were upregulated and that HIV1230, BC011663, AK057054 and M14574 were downregulated in the GC tissues relative to their matched counterparts (all p<0.05).	24819045	2014	Integrated analysis of long non-coding RNAs and mRNA expression profiles reveals the potential role of lncRNAs in gastric cancer pathogenesis.
52	AK058003	AK058003	N/A	N/A	chr10:86947780-86950770	gastric cancer	C16		microarray, qPCR, RNAi, in vitro knockdown etc.	gastric cancer tissue, cell lines (SGC7901, MKN45, MKN28)	up-regulated	AK058003 is frequently upregulated in GC samples and promotes GC migration and invasion in vivo and in vitro. Next, we identified γ-synuclein. (SNCG), which is a metastasis-related gene regulated by AK058003. In addition, we found that the expression of SNCG is positively correlated with that of AK058003 in the clinical GC samples used in our study. Furthermore, we found that the SNCG gene CpG island methylation was significantly increased in GC cells depleted of AK058003. Intriguingly, SNCG expression is also increased by hypoxia, and SNCG upregulation by AK058003 mediates hypoxia-induced GC cell metastasis.	25499222	2014	Hypoxia-Inducible lncRNA-AK058003 Promotes Gastric Cancer Metastasis by Targeting γ-synuclein.
53	AK093543	AK093543	N/A	N/A	chr2:101016600-101023100	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	down-regulated	To validate the microarray analysis results, five lncRNAs were randomly selected from the differential lncRNAs and their expressions were analyzed using qPCR in 29 pairs of HCC and matched NT tissues. Our data indicated that the expressions of TCONS_00018278, AK093543, D16366 and ENST00000501583 were significantly downregulated in HCC, whereas the expression of NR_002819 showed no significant difference.	24876753	2014	LncRNAs expression signatures of hepatocellular carcinoma revealed by microarray.
54	AK094838	ASLNC18814; AK094838	N/A	N/A	chr12:67521072-67523249	osteosarcoma		M9180/3	microarray, qPCR etc.	primary osteosarcoma tissue	down-regulated	The results demonstrated that ASLNC21868, ASLNC22124, ASLNC23844, ASLNC24587, BE503655 and BC050642 were over-regulated and that ASLNC00339, ASLNC11435, ASLNC13387 and ASLNC18814 were under-regulated in the osteosarcoma samples compared with normal samples. The qPCR results and microarray data are consistent.	23466354	2013	Microarray expression profile of long noncoding RNAs in human osteosarcoma.
55	AK095147	AK095147	N/A	N/A	chr13:36841800-36847600	nasopharyngeal carcinoma	C11		microarray, qPCR, RNAi etc.	nasopharyngeal carcinoma tissue, cell lines (CNE-2 etc.)	down-regulated	qPCR results were consistent with the microarray analysis results of six lncRNAs (AF086415, AK095147, RP1-179N16.3, MUDENG, AK056098, and AK294004) in terms of regulation direction and significance.	24379026	2014	Curcumin enhances the radiosensitivity in nasopharyngeal carcinoma cells involving the reversal of differentially expressed long non-coding RNAs.
56	AK096725	AK096725	N/A	N/A	chr2:74501800-74506500	renal cell carcinoma	C64.9		microarray, qPCR etc.	RCC tissue	up-regulated	We chose the lncRNAs AK096725 (upregulated) and ENST00000453068 (downregulated) to confirm their differential expression levels in 70 paired RCC tissues and adjacent non-tumor tissues. Levels of AK096725 were significantly greater in RCC tissues while those of ENST00000453068 was significantly lower compared to the non-tumor tissues. These results are consistent with the microarray data.	24905231	2014	Expression pattern of long non-coding RNAs in renal cell carcinoma revealed by microarray.
57	AK097500	ASLNC11435; AK097500	N/A	N/A	chr17:10227185-10467925	osteosarcoma		M9180/3	microarray, qPCR etc.	primary osteosarcoma tissue	down-regulated	The results demonstrated that ASLNC21868, ASLNC22124, ASLNC23844, ASLNC24587, BE503655 and BC050642 were over-regulated and that ASLNC00339, ASLNC11435, ASLNC13387 and ASLNC18814 were under-regulated in the osteosarcoma samples compared with normal samples. The qPCR results and microarray data are consistent.	23466354	2013	Microarray expression profile of long noncoding RNAs in human osteosarcoma.
58	AK123072	AK123072; lncRNA-GHET1; ENST00000627071	ENST00000627071	N/A	chr7:148987527-148989432	gastric cancer	C16		qPCR, Western blot etc.	cell lines (SGC-7901, AGS and BGC-823)	up-regulated	We found an lncRNA, AK123072, which was up-regulated by hypoxia. AK123072 was frequently up-regulated in GC samples and promoted GC migration and invasion in vivo and in vitro. Furthermore, AK123072 could mediate the metastasis of hypoxia-induced GC cells. Next, we identified EGFR, which was a metastasis-related gene regulated by AK123072. In addition, we found that the expression of EGFR was positively correlated with that of AK123072 in the clinical GC samples used in our study. Furthermore, we found that the EGFR gene CpG island methylation was significantly increased in GC cells depleted of AK123072. Intriguingly, EGFR expression was also increased by hypoxia, and EGFR up-regulation by AK123072 mediated hypoxia-induced GC cell metastasis	26884908	2015	Hypoxia/lncRNA-AK123072/EGFR pathway induced metastasis and invasion in gastric cancer
59	AK123263	AK123263	N/A	N/A	chr17:13765000-13804000	non-small cell lung cancer	C34	M8046/3	microarray, qPCR, Western bolt, RNAi etc.	cell lines (A549, CDDP etc.)	down-regulated	For lncRNA, the results showed that AK123263, CES1P1-001, RP3-508I15.14, AK126698, TP53TG1, and AC090952.4.1 decreased, whereas uc003bgl.1 and NCRNA00210 increased in A549/CDDP (all P <0.05). Cisplatin resistance in non-small-cell lung cancer cells may relate to the changes in noncoding RNAs. Among these, AK126698 appears to confer cisplatin resistance by targeting the Wnt pathway.	23741487	2013	The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell.
60	AK123657	AK123657	N/A	N/A	chr11:17379800-17385100	colorectal cancer	C19.9		microarray, qPCR, RNAi etc.	cell lines (HCT116 ,SW1116)	down-regulated	Functional experiments demonstrated three dysregulated lncRNAs, AK123657, BX648207 and BX649059 were required for efficient invasion and proliferation suppression in CRC cell lines.	24809982	2014	A long non-coding RNA signature to improve prognosis prediction of colorectal cancer.
61	AK123790	AK123790	N/A	N/A	chr1:226695600-226702600	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR, RIP, RNA pulldown assay etc.	HCC tissue	down-regulated	AY129027, uc002pyc and DQ786243 were over-expressed in HCC, whereas the expression of AK055007 and AK123790 was decreased.	21769904	2011	Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans.
62	AK126698	AK126698	N/A	N/A	chr3:195712600-195722100	non-small cell lung cancer	C34	M8046/3	microarray, qPCR, Western bolt, RNAi etc.	cell lines (A549, CDDP etc.)	down-regulated	For lncRNA, the results showed that AK123263, CES1P1-001, RP3-508I15.14, AK126698, TP53TG1, and AC090952.4.1 decreased, whereas uc003bgl.1 and NCRNA00210 increased in A549/CDDP (all P <0.05). Cisplatin resistance in non-small-cell lung cancer cells may relate to the changes in noncoding RNAs. Among these, AK126698 appears to confer cisplatin resistance by targeting the Wnt pathway.	23741487	2013	The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell.
63	AK129685	AK129685	N/A	N/A	chr19:13836000-13842000	malignant pleural mesothelioma		M9050/3	microarray, qPCR etc.	MPM tissue, cell lines (H28, H226, H2052, H2452, MSTO etc.)	up-regulated	AK130977 and AX746718 were both found to be down-regulated via both microarray and RT-qPCR (AK130977 Microarray (MA) = -5.207, RT-qPCR = -1.6; AX746718 MA = -3.37, RT-qPCR = -4.6), with AK130977 demonstrating fairly small changes using RT-qPCR. Similarly, BX648695, AK129685, EF177379, AK054908, AK130275, AF268386 and NR_003584 all demonstrated consistent up-regulation using both microarrays and RT-qPCR.	23976967	2013	Long non coding RNAs (lncRNAs) are dysregulated in Malignant Pleural Mesothelioma (MPM).
